"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000145423",-9.93117661013435,2.74650429401705,598.941418509225,2.84478379686202e-132,4.13261742170146e-128
"ENSG00000183783",-6.6900923200308,2.41414256353257,519.850847294727,4.56028563463325e-115,3.31236347071586e-111
"ENSG00000185070",-6.38196304065455,1.99784599150289,438.311223310447,2.52342672840528e-97,1.22192733611811e-93
"ENSG00000183580",-4.86546531812434,2.78144112808522,355.550216902496,2.62136784344755e-79,9.52015266544063e-76
"ENSG00000101986",-3.8367373479826,4.62556508255974,349.73054713406,4.85083885804102e-78,1.40936272181524e-74
"ENSG00000197134",-6.95224161479727,2.99806074852903,331.243557403598,5.15157961589099e-74,1.24728328466747e-70
"ENSG00000170468",-7.76709831408223,1.2918760460129,308.831923301618,3.92359220361511e-69,8.14257484884525e-66
"ENSG00000243056",-6.6720858865886,1.95402997952209,299.905922591881,3.45356535816523e-67,6.27124299475829e-64
"ENSG00000082175",-6.31539303759893,3.5820234920488,298.82967882692,5.92579427848544e-67,9.564890387062e-64
"ENSG00000170962",-5.05783641465925,2.18493365552941,294.261268991762,5.86255975421896e-66,8.26230905450713e-63
"ENSG00000163288",-7.77941456865724,1.30302764942179,294.131698360267,6.25630891440617e-66,8.26230905450713e-63
"ENSG00000137142",-3.00729421561072,3.15326561871187,267.19220109091,4.64374577079454e-60,5.62164123436102e-57
"ENSG00000060718",-5.7723496426577,3.16203395051272,257.663826066923,5.54312858599699e-58,6.19423299759833e-55
"ENSG00000154188",3.73970327692962,2.88115254037482,254.468069391677,2.75672859077642e-57,2.86049973130065e-54
"ENSG00000155966",-4.70422899194342,2.34010161203272,240.233295850698,3.49813622391963e-54,3.38782832832537e-51
"ENSG00000171451",-4.22388573878136,2.16390200884046,216.708200174271,4.7253413558017e-49,4.03794316916067e-46
"ENSG00000262102",-4.22388573878136,2.16390200884046,216.708200174271,4.7253413558017e-49,4.03794316916067e-46
"ENSG00000077713",-1.83122108452926,4.29416870335593,211.95761675636,5.13781573788809e-48,4.14650273468335e-45
"ENSG00000123496",-7.69666065220656,2.85332012170942,211.114647918452,7.84664885128188e-48,5.99938251908273e-45
"ENSG00000174482",-6.99098826121135,0.989777923459815,209.055891582823,2.2072201955959e-47,1.60321438907108e-44
"ENSG00000107562",-5.98547299809483,0.640682660163699,203.491159914372,3.61422130975016e-46,2.50018061746384e-43
"ENSG00000112232",-4.79635791150395,0.669535142130105,201.794634004464,8.47639358468965e-46,5.59711680021757e-43
"ENSG00000147100",-2.37977832380692,6.28795306093911,197.606120483817,6.95417096989734e-45,4.39231485563907e-42
"ENSG00000165929",1.98297566627316,4.1682800692624,195.289112622707,2.22798864063245e-44,1.34858295760282e-41
"ENSG00000182533",5.49324312491072,0.0169871755302367,184.509421161556,5.02222707733924e-42,2.91831571010029e-39
"ENSG00000101134",-5.42232983029556,-0.125130269346757,152.822209493446,4.18917885766698e-35,2.34062312558955e-32
"ENSG00000167232",-2.90815520829564,3.98844629545014,152.356685305146,5.29505242017882e-35,2.84893431510881e-32
"ENSG00000163605",1.30119339498089,5.8805399327349,150.701956559572,1.21767403139891e-34,6.31755380504715e-32
"ENSG00000185231",5.11200113759509,0.131543461409892,150.364691053971,1.44293766969315e-34,7.22812259573532e-32
"ENSG00000272602",-2.46308930750728,2.63278193688404,150.038861674236,1.70006490398466e-34,8.23228095339505e-32
"ENSG00000164683",1.73226832952263,8.32084168332836,147.866495857127,5.07358068180317e-34,2.37754537305015e-31
"ENSG00000149485",-1.36301305864127,6.94250768328622,147.270805649766,6.84750122738482e-34,3.07895369403339e-31
"ENSG00000196711",2.65591671849839,2.63570530527937,147.228678775578,6.99425014821379e-34,3.07895369403339e-31
"ENSG00000167766",-3.78050094039524,3.18104343192326,140.919738399084,1.67530063294452e-32,7.15796832199558e-30
"ENSG00000104267",2.09226287641881,7.84479902791319,140.355861012493,2.2253372940779e-32,9.23642139173418e-30
"ENSG00000182912",4.23976367041574,1.0644022769917,139.565619934495,3.31286426850266e-32,1.3041126534461e-29
"ENSG00000186088",-4.33550975542223,1.64550370225447,139.560419435235,3.32155077975533e-32,1.3041126534461e-29
"ENSG00000166922",-3.29537337416109,0.628520678491067,138.393002052952,5.97917238674372e-32,2.28577466479542e-29
"ENSG00000155850",-1.07508202045037,5.9589660546901,137.738465058395,8.31355976952755e-32,3.0966944300494e-29
"ENSG00000161249",1.79510991325718,5.96308709458389,130.814917426082,2.71803029003263e-30,9.871206505826e-28
"ENSG00000104313",1.99613738758305,3.95705044333033,129.624520732478,4.95109573761139e-30,1.75425775073855e-27
"ENSG00000123572",-6.47149034916085,1.07466789983371,127.623342127778,1.35699941142548e-29,4.69360248804238e-27
"ENSG00000139842",1.35818997039104,5.79245183051878,126.150989289252,2.84956459070571e-29,9.62688949050741e-27
"ENSG00000120129",-1.29805434269101,7.20410660611869,122.94429231543,1.43419651729973e-28,4.73513018336665e-26
"ENSG00000164588",-4.26478004417307,0.53953607946428,121.481175249529,2.99832902535162e-28,9.679272389174e-26
"ENSG00000131668",-2.71233315777188,3.99148969909112,121.408245473949,3.11059969690427e-28,9.82340908628877e-26
"ENSG00000112183",-2.51992389812883,1.98388726344395,119.719820602348,7.28573741518479e-28,2.25191292405084e-25
"ENSG00000064012",-1.33508070306844,4.23553313436733,118.256806129966,1.52331572541998e-27,4.61025157149501e-25
"ENSG00000151834",-3.10880292953914,2.28356632683694,117.622678723652,2.09718852863503e-27,6.2175219909145e-25
"ENSG00000187601",-2.3432456854859,3.02759961470109,117.293903197605,2.47530119145979e-27,7.19174008166728e-25
"ENSG00000140015",-3.64960470049886,0.27094246805414,117.107560520299,2.7191392341743e-27,7.74528150095099e-25
"ENSG00000163602",1.04392202202987,6.2081436983305,115.709287288164,5.50336066434643e-27,1.53744846867232e-24
"ENSG00000110042",-4.43195191602272,1.02000809171863,115.17412166134,7.20821347406895e-27,1.97573051203395e-24
"ENSG00000166206",-3.69390727391155,1.08704735152198,111.94129254842,3.68048851418068e-26,9.9011956750931e-24
"ENSG00000102271",-3.93378156538826,0.947308932541416,109.636104113083,1.17736472212624e-25,3.10974133060508e-23
"ENSG00000141668",-8.0150588087454,-0.271541956309598,109.483161642854,1.27180312986175e-25,3.29919358348243e-23
"ENSG00000145248",-1.95366281148103,2.82574488931122,108.930132687588,1.68108230069281e-25,4.2844004530113e-23
"ENSG00000154654",-2.69862698208284,2.04198449217028,108.541760413445,2.04496028797807e-25,5.12192036266508e-23
"ENSG00000151789",-5.56512475921244,0.0182399905027489,108.430153527238,2.16341312287835e-25,5.32676312475487e-23
"ENSG00000143643",1.34226814865679,5.54738671905213,108.306760365791,2.30237908777006e-25,5.57444350133929e-23
"ENSG00000182674",2.15716975757298,1.55368465188145,106.219044505909,6.60191284162143e-25,1.57222930902024e-22
"ENSG00000101871",-2.57166992234659,7.19730910483589,105.958303554008,7.53031327868399e-25,1.76440098386197e-22
"ENSG00000020633",-4.5528308555144,0.985691353066008,105.002962486031,1.21953370054058e-24,2.81208985202428e-22
"ENSG00000198176",1.07812064966061,7.30929208221809,104.370634490221,1.67799151783043e-24,3.80877855930041e-22
"ENSG00000114993",1.23458485910841,3.94714261684739,103.70421789022,2.34890634135265e-24,5.24962498781998e-22
"ENSG00000116478",1.06645872206377,8.14591120135594,103.274206626165,2.91828085888003e-24,6.42331303590154e-22
"ENSG00000079102",1.65762904716132,4.26731262520905,102.022719035801,5.48886327203849e-24,1.19010025004333e-21
"ENSG00000172817",-4.17647911780483,0.370958549996953,101.024494656572,9.08529550192783e-24,1.94091305524273e-21
"ENSG00000145246",-1.12855647766521,4.44038140799678,100.902226321187,9.66378567652638e-24,2.034577022071e-21
"ENSG00000187546",-5.18223136301755,-0.337618981151924,98.5429630378136,3.18049076074597e-23,6.60042704019381e-21
"ENSG00000117318",-1.06137839253073,6.80404950593347,98.2189149212954,3.74594747140587e-23,7.66441956579057e-21
"ENSG00000167646",1.52785584639725,3.38472787977846,97.8235089813906,4.57384997686835e-23,9.22837758527312e-21
"ENSG00000187398",-4.76767221133373,0.495044106933708,97.4537885256449,5.51279581882612e-23,1.0970463679464e-20
"ENSG00000148798",2.51886647698606,4.56716206295953,97.3076342664561,5.93510538085996e-23,1.16512534956422e-20
"ENSG00000159761",-2.65351905888754,0.755837187344041,96.6938633426833,8.09196744331711e-23,1.5673601473209e-20
"ENSG00000086205",-2.59717222189099,1.97852297484535,94.5504101826226,2.38929592818451e-22,4.56701341430741e-20
"ENSG00000166415",-4.49911537552676,4.8225485300099,94.4449661883928,2.52002146553156e-22,4.75433140646455e-20
"ENSG00000237440",-2.70016199990704,0.253822075816409,93.5275471663632,4.00586221031062e-22,7.46066158066441e-20
"ENSG00000050628",-3.67671227016751,0.745406686239613,93.4588554075546,4.14732942069311e-22,7.62636132840618e-20
"ENSG00000150551",3.3515094187062,3.34252774527254,93.2454590776965,4.61948151877244e-22,8.38840100290091e-20
"ENSG00000162599",1.02999502486001,4.73980046614707,91.7015357787845,1.00786641988816e-21,1.80756487428583e-19
"ENSG00000240184",-1.80482740282305,5.23267222876743,91.5561341088612,1.0847108578197e-21,1.89923695223217e-19
"ENSG00000144746",1.04996705115004,6.9108157316184,91.5553717264562,1.08512884308715e-21,1.89923695223217e-19
"ENSG00000178718",-1.8200758741854,4.03044439350097,91.3939729739334,1.17734511233157e-21,2.03610624367151e-19
"ENSG00000155090",1.18647891693957,5.65079578021716,91.2771366529141,1.24895407823244e-21,2.13453598758619e-19
"ENSG00000119231",-0.900442911796529,5.71071526217349,90.1735913336604,2.18154590544866e-21,3.68503690330845e-19
"ENSG00000100968",-1.44006648448528,3.71449110325263,89.6693841981022,2.81477345310943e-21,4.70002459233572e-19
"ENSG00000144736",1.23997484805294,6.14860036738257,89.1040921817283,3.74575338033819e-21,6.18347265411055e-19
"ENSG00000070950",0.832968095327387,6.35841131561193,88.9644293557527,4.01975838187877e-21,6.56123932736549e-19
"ENSG00000135926",-1.6390876881705,2.66115052617241,86.7744578951529,1.21630286770052e-20,1.96324797323171e-18
"ENSG00000139737",1.49200209573526,6.19035736626999,85.9824040211818,1.81543860110875e-20,2.89140773721341e-18
"ENSG00000115307",0.957454280301671,7.0968597648981,85.9653759321006,1.83113865095088e-20,2.89140773721341e-18
"ENSG00000163530",-5.06344168599483,0.497325602781108,85.866946889295,1.92458952278401e-20,3.00629161263262e-18
"ENSG00000130234",4.22452402744687,-0.00867108929310068,85.5699633727703,2.23646958595566e-20,3.456297199487e-18
"ENSG00000157064",3.46886555780122,2.09333040799177,85.3335128895089,2.52054887374185e-20,3.8543172093524e-18
"ENSG00000178538",2.97575200076565,5.51115776272443,84.9836813418227,3.00837730694385e-20,4.55236428520555e-18
"ENSG00000133739",-0.983183389302641,4.70232942973133,84.7121041345802,3.4513109327953e-20,5.16878287842446e-18
"ENSG00000163050",1.07153437805922,6.71245816232059,83.8801627957539,5.25693837147999e-20,7.79260650229488e-18
